epoch,sequence_number,network_total_transactions,content_digest,computation_cost,storage_cost,storage_rebate,non_refundable_storage_fee,timestamp_ms,transactions
12,1000086,155436543,FQk7g7YXLxsw6WqDHbSraQqjAUkTh9tr4ttWhrovYTZs,10596180248892,22041682336000,11957037698628,120778158572,1684836680674,143
12,1000091,155437311,JAqb5ZFKEjjERhgJrHuNB51XockxaWeQGzTs5yZaFdRA,10596962248892,22043299319600,11957935071060,120787222940,1684836685668,154
12,1000088,155436864,2RHN8R3jYFCneH7Qxw3iusP2FRRmX79N9yMGfFtB8iUu,10596499248892,22042345709600,11957395389588,120781771612,1684836682745,151
12,1000089,155437001,EGMYF4fRvrjhKxpcFPakgURND3QrPn6VSXHarKtqgUqw,10596654248892,22042623626400,11957538134916,120783213484,1684836683684,137
12,1000090,155437157,9ogV9NpAoE8StHxcCKscHXxbCNowy4izsnDKSvaXBZUP,10596809248892,22042942096800,11957708327796,120784932604,1684836684684,156
12,1000092,155437768,sySAGxzqFmsgoavbYgV9nAYUu73MAQzh6ZhQXx5hmYa,10597418248892,22044224771600,11958416306100,120792083900,1684836689175,457
12,1000097,155438601,8hM1o2Koj18pBvVwceuia16T3fCsEk93p1XSysyEdxDG,10598250248892,22046473809200,11959845527520,120806520480,1684836694202,148
12,1000093,155437997,3qzBxMNHheAZHVE493q22h83UQhyTX5wZByNSFmuufdX,10597646248892,22044675299600,11958639317460,120794336540,1684836690187,229
12,1000095,155438287,CEJTBbMkLKvXbASALAKYwCZ6cWijBPLtU6pdjXS3F2a3,10597938248892,22045832901200,11959503185520,120803062480,1684836692179,146
12,1000096,155438453,5dBBiewooXmRErZ76Gkg661ZcF6dvkJSF7A5oYx7y59B,10598103248892,22046171131600,11959683159600,120804880400,1684836693165,166
12,1000094,155438141,9MHL6M9W7u6ewPfujzWocnSu2WSjoeDsdKR3Jik3hUZi,10597789248892,22044957867600,11958779188620,120795749380,1684836691198,144
12,1000098,155438748,FBFfDKTEknrzxQkcoGDVSjAo58D9MRmgf4zi5a1gTzd2,10598396248892,22046774541200,11960006917320,120808150680,1684836695186,147
12,1000099,155438891,HasEakUQF19j2eZ12VGWFJA6sEAP6Cm3Wumvz7Hw8G5h,10598538248892,22047091712000,11960201563200,120810116800,1684836696177,143
12,1000100,155439043,HeqCKa56Zv3177MPs6Ze9XRPy4BJ418AbDtzWVRP48fr,10598689248892,22047414491600,11960385449760,120811974240,1684836697172,152
12,1000101,155439201,HEuCoFLcqP4YDpp3C2YDNkjhCt6QcVWnokV1Kx3KiDRn,10598846248892,22047724723600,11960539014600,120813525400,1684836698188,158
12,1000102,155439356,6xMUH2zraZLP5V27BdD4jQLc7Dy57yY5mEnRAZ9Zhjxy,10599000248892,22048052450800,11960724857400,120815402600,1684836699199,155
12,1000107,155440117,FXBdDoPXXMdELV9eBzQKt8BKbWNgwfmxGQ1yQuRCGr7S,10599775248892,22049661804000,11961618339924,120824427676,1684836704173,155
